"Action","操作"
"Add Theme","添加主题"
"Are you sure?","您确定？"
"Change status","改变状态"
"Delete","删除"
"Delete Theme","删除主题"
"Description","描述"
"Device Theme","设备主题"
"Devices","设备"
"Disabled","禁用"
"Edit","编辑"
"Edit Theme '%s'","编辑主题“%s”"
"Enabled","启用"
"Export to:","导出格式："
"Save And Continue Edit","保存并继续编辑"
"Save Theme","保存主题"
"Status","状态"
"Store Theme","商店主题"
"Template","模板"
"Theme Information","主题信息"
"Theme Manager","主题管理"
"Theme does not exist","主题不存在"
"Theme information","主题信息"
"Theme was successfully saved","主题已保存"
"Title","标题"
"View",""
"Unable to find item to save","找不到要保存的项目"
"per page","项/页"