"female","女"
"male","男"
"Client ID","客户端ID"
"Client Secret","客户端密钥"
"Google #: %s","谷歌ID：%s"
"Google Connect","Google连接"
"Google Connect process aborted.","Google连接过程中止。"
"Google Options","谷歌"
"Sorry, could not retrieve your Google first name. Please try again.","非常抱歉，不能找到您的Google姓氏。请重试。"
"Sorry, could not retrieve your Google last name. Please try again.","非常抱歉，不能找到您的Google名字。请重试。"
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","我们发现您在我们店铺里已有了一个帐户。您的Google帐户现在已连接到了您的店铺帐户。"
"You can connect store account with your Google account so you could login easier in the future.","您可以将店铺帐户与您的Google帐户连接起来，这样您以后就更容易登录。"
"You can login using your <strong>Google</strong> credentials.","您可以使用您的<strong>Google</strong>帐户登陆。"
"You have successfully disconnected your Google account from our store account.","您已经成功地将您Google帐户与我们的店铺帐户断开了。"
"You have successfully logged in using your Google account.","您已经使用您的Google帐户成功登录了。"
"Your Google account is already connected to one of our store accounts.","您的Google帐户已经连接到我们店铺的其它帐户了。"
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","您的Google帐户已经连接到我们店铺里您的新用户帐户了。您现在可以使用Google登录按钮或您邮件将收到的店铺帐户证书来登录。"
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","您的Google帐户已经连接到您的店铺帐户了。您现在可以使用Google登录按钮或您邮件将收到的店铺帐户证书来登录。"