"---Please Select---","--请选择--"
"Friend Pay","好友付款"
"Friend's Email","好友Email"
"Message","给好友的留言"
"Optional, it can be thanks, can be baby, begging, etc.","选填，感谢、撒娇、乞求都可以"
"Pay Other","找人代付"
"Pay Other Mode","代付方式"
"Payable Other","可找人代付"
"Payment Link","付款链接"
"<strong>Note:</strong> You can see a link of paying after you place order. By sending the link to your friend, you can ask to help you pay.","<strong>提示：</strong>您提交订单之后，会看到付款链接。您可以将这个链接发送给您的朋友，请他帮您付款。"
"<strong>Note:</strong> Your friend will receive the email of paying after you place order.","<strong>提示：</strong>您提交订单之后，您的朋友将收到付款邮件。"