"An empty category is a category that has no products","一个空的分类是没有产品的分类"
"Columns","列"
"Custom Menu","自定义菜单"
"Delay before displaying","显示延时"
"Delay before hiding","隐藏延时"
"Display empty categories","显示空的分类"
"Display standard menu in IE6 browser","在IE6浏览器里显示标准菜单"
"e.g. 1, 2, 3, 4 (0 - disable limits). For example, if you set this value to <b>2</b>, only second level categories will be displayed","比如1，2，3，4（0——无限制）。例如，如果您设置为<b>2</b>，仅显示第二层分类"
"e.g. 1, 2, 3. The maximum number of columns in the popup","比如1，2，3。弹出窗口中的最大列数"
"Enable","启用"
"Enable RTL Text mode","启用RTL（从右到左读取）文本模式"
"General","常规"
"in milliseconds","以毫秒为单位"
"in pixels, (0 - no fixed width)","以像素为单位，0——宽度不固定"
"in pixels, (0 - to calculate the offset automatically)","以像素为单位，0——自动计算偏移"
"In order to display a custom block with images or other html content in the popup, use the <b>Static Block</b> (<strong>CMS->Static Blocks</strong> section) with the ID like ""<b>wp_custom_menu_83</b>"", where ""<b>83</b>"" is the Category ID of this category","为了在弹出窗口里显示带图片或其它html内容的自定义块，请使用像""<b>wp_custom_menu_83</b>""这样带ID的<b>静态块</b>（<strong>CMS->静态块</strong>），这里的""<b>83</b>""是分类ID"
"Insert <b>&amp;nbsp;</b> instead of a space in a name of a menu item","在菜单条目名称里插入<b>&amp;nbsp;</b>，而不是空格"
"Load content through ajax","通过Ajax加载内容"
"Merge small subcategory lists into one column (except the extream left categories)","合并小的子分类列表到一列（除了最左边的类别）"
"Merge small subcategories","合并小的子分类"
"Mobile menu","手机菜单"
"Move content to the bottom","将内容移动到底部"
"Move the menu source code to the bottom of a page","将菜单源代码移动到页面的底部"
"Next Sub-category is placed to the next column","下一子分类放到下一列"
"Number of columns","列数"
"Popup settings","弹出窗口设置"
"Replace spaces with non-breaking spaces","使用非断开空格代替空格"
"Show the link ""Home""","显示“首页”链接"
"Split categories left to right into columns","将分类从左到右拆分成列"
"Top offset","顶部偏移"
"Visible menu depth","菜单可见深度"
"Width","宽度"