"Approximate size.<br />The total width might be slightly different.","近似尺寸。<br/>总宽度可能会略有不同。"
"Column Width (px)","列宽度"
"Display Short Description","显示简述"
"Enable","启用"
"Exact size.","精确尺寸"
"General","常规"
"Image Height (px)","图片高度（像素）"
"Image Width (px)","图片宽度（像素）"
"Include jQuery Debouncedresize","包含jQuery Debouncedresize"
"Include jQuery files","包含jQuery文件"
"Include jQuery v1.8.3","包含jQuery v1.8.3"
"Smart Catalog Lite","智能分类（精简版）"
"Your website pages might already have one Debouncedresize instance enabled. In this case this value must be set to ""No"".","您的网站页面可能已经启用了一个Debouncedresize实例。在这种情况下，本选项值必须设置为“否”。"
"Your website pages might already have one jQuery instance enabled. In this case this value must be set to ""No"".","您的网站页面可能已经启用了一个jQuery实例。在这种情况下，本选项值必须设置为“否”。"